tconst	averageRating	numVotes
tt0142748	5.0	6
tt0143072	3.8	10
tt0143199	7.8	8
tt0143288	6.3	32
tt0143402	3.8	11
tt0143658	6.3	22
tt0143687	5.2	5
tt0143788	4.5	73
tt0143953	4.6	12
tt0143994	4.6	5
tt0144071	6.4	39
tt0144091	6.5	8
tt0144096	5.0	606
tt0144440	6.4	17
tt0144528	4.4	44082
tt0144796	6.8	24
tt0144947	6.4	84
tt0145302	7.9	42
tt0145419	8.8	12
tt0145853	6.1	57
tt0145974	5.5	11
tt0146880	8.6	11
tt0147295	6.2	6
tt0147443	8.0	5
tt0147695	6.6	5
tt0147776	7.8	53
tt0148083	6.1	15
tt0148503	6.2	13
tt0148791	6.6	5
tt0148977	5.4	17
tt0149189	5.1	10
tt0149217	6.1	11
tt0149407	7.7	87
tt0149531	2.5	19
tt0149723	7.0	4195
tt0149994	6.7	17
tt0150015	6.7	154
tt0150077	5.3	10
tt0150134	8.2	9
tt0150489	3.7	35
tt0150666	4.2	11
tt0150860	5.1	14
tt0150879	6.5	17
tt0150931	3.2	198
tt0151141	3.6	5
tt0151217	4.5	6
tt0151313	6.0	5
tt0151443	6.1	14
tt0151635	5.9	29
tt0151767	4.9	12
tt0151907	6.3	10
tt0152181	6.2	58
tt0152486	5.5	20
tt0152603	6.0	24
tt0152926	4.2	5
tt0152930	7.0	69093
tt0153105	7.5	8
tt0153143	7.2	9
tt0153609	6.6	21
tt0153662	7.8	5
tt0153870	6.5	58
tt0154038	6.3	19
tt0154088	6.0	45
tt0154265	6.9	60
tt0154448	6.3	19
tt0154469	4.4	17
tt0154603	4.8	26
tt0154849	7.5	207
tt0154968	6.2	16
tt0155051	7.2	38
tt0155061	7.4	12
tt0155106	7.0	36
tt0156089	7.4	9
tt0156202	6.9	12
tt0156479	6.8	27
tt0156593	6.8	55
tt0156658	5.7	383
tt0156663	6.2	134
tt0157096	6.6	25
tt0157121	6.8	37
tt0157209	6.3	46
tt0158402	6.6	5
tt0158524	6.0	98
tt0158570	6.7	63
tt0158631	8.4	5
tt0158810	6.9	8
tt0158854	6.6	37
tt0159012	4.2	25
tt0159189	7.1	44
tt0159202	8.1	58
tt0159216	7.5	24
tt0159349	6.2	16
tt0159812	7.6	16
tt0160082	7.0	34
tt0160397	7.1	38
tt0160695	5.8	6
tt0161185	4.1	177
tt0161455	6.5	6
tt0161506	5.5	15
tt0161574	5.6	169
tt0161918	7.0	12
tt0162446	6.8	10
tt0162901	5.9	151
tt0163236	7.0	8
tt0163476	6.8	169
tt0163580	6.7	45
tt0163667	8.4	25
tt0163949	7.1	2007
tt0164463	6.3	37
tt0164611	5.8	84
tt0165382	6.2	119
